log_P_PERIOD,log_P_RAD,Boundary_Class
-0.8641931784879127,-1.2066010143088621,0.0
-0.8315825485771583,-1.2066010143088621,0.0
-0.7989719186664038,-1.2066010143088621,0.0
-0.7663612887556495,-1.2066010143088621,0.0
-0.733750658844895,-1.2066010143088621,0.0
-0.7011400289341406,-1.2066010143088621,0.0
-0.6685293990233863,-1.2066010143088621,0.0
-0.6359187691126318,-1.2066010143088621,0.0
-0.6033081392018774,-1.2066010143088621,0.0
-0.5706975092911231,-1.2066010143088621,0.0
-0.5380868793803686,-1.2066010143088621,0.0
-0.5054762494696142,-1.2066010143088621,0.0
-0.4728656195588598,-1.2066010143088621,0.0
-0.4402549896481054,-1.2066010143088621,0.0
-0.407644359737351,-1.2066010143088621,0.0
-0.3750337298265966,-1.2066010143088621,0.0
-0.3424230999158422,-1.2066010143088621,0.0
-0.3098124700050878,-1.2066010143088621,0.0
-0.27720184009433335,-1.2066010143088621,0.0
-0.244591210183579,-1.2066010143088621,0.0
-0.21198058027282451,-1.2066010143088621,0.0
-0.17936995036207015,-1.2066010143088621,0.0
-0.1467593204513158,-1.2066010143088621,0.0
-0.11414869054056132,-1.2066010143088621,0.0
-0.08153806062980695,-1.2066010143088621,0.0
-0.04892743071905259,-1.2066010143088621,0.0
-0.016316800808298115,-1.2066010143088621,0.0
0.016293829102456248,-1.2066010143088621,0.0
0.04890445901321061,-1.2066010143088621,0.0
0.08151508892396508,-1.2066010143088621,0.0
0.11412571883471945,-1.2066010143088621,0.0
0.1467363487454738,-1.2066010143088621,0.0
0.17934697865622828,-1.2066010143088621,0.0
0.21195760856698276,-1.2066010143088621,0.0
0.244568238477737,-1.2066010143088621,0.0
0.2771788683884915,-1.2066010143088621,0.0
0.30978949829924596,-1.2066010143088621,2.0
0.3424001282100002,-1.2066010143088621,2.0
0.3750107581207547,-1.2066010143088621,2.0
0.40762138803150916,-1.2066010143088621,2.0
0.44023201794226363,-1.2066010143088621,2.0
0.4728426478530179,-1.2066010143088621,2.0
0.5054532777637724,-1.2066010143088621,2.0
0.5380639076745268,-1.2066010143088621,2.0
0.5706745375852811,-1.2066010143088621,2.0
0.6032851674960356,-1.2066010143088621,2.0
0.63589579740679,-1.2066010143088621,2.0
0.6685064273175443,-1.2066010143088621,2.0
0.7011170572282988,-1.2066010143088621,2.0
0.7337276871390532,-1.2066010143088621,2.0
0.7663383170498075,-1.2066010143088621,2.0
